,location,new_cases_per_million,new_deaths_per_million
171,Canada,30.230999999999998,2.782
172,Canada,28.561999999999998,1.828
173,Canada,26.814,3.2060000000000004
174,Canada,24.8,2.491
175,Canada,23.104,3.338
176,Canada,26.31,2.968
177,Canada,24.005,2.7030000000000003
178,Canada,20.455,2.491
179,Canada,20.057000000000002,5.882000000000001
180,Canada,20.084,0.821
181,Canada,18.679000000000002,1.828
182,Canada,17.885,2.7289999999999996
183,Canada,16.984,3.6830000000000003
184,Canada,16.136,1.749
185,Canada,19.13,1.855
186,Canada,17.01,0.715
187,Canada,14.44,0.927
188,Canada,10.837,1.643
189,Canada,12.505999999999998,1.669
190,Canada,10.731,0.9009999999999999
191,Canada,10.943,1.4569999999999999
192,Canada,12.373,1.537
193,Canada,9.988999999999999,1.033
194,Canada,9.538,0.768
195,Canada,8.479,1.0070000000000001
196,Canada,10.227,1.0859999999999999
197,Canada,9.724,1.219
198,Canada,10.837,1.219
199,Canada,10.333,1.696
200,Cyprus,2.283,0.0
201,Cyprus,4.567,0.0
202,Cyprus,9.133,0.0
203,Cyprus,7.992000000000001,0.0
204,Cyprus,10.275,0.0
205,Cyprus,11.417,0.0
206,Cyprus,0.0,0.0
207,Cyprus,20.55,0.0
208,Cyprus,0.0,0.0
209,Cyprus,10.275,0.0
210,Cyprus,19.409000000000002,0.0
211,Cyprus,12.559000000000001,0.0
212,Cyprus,23.975,0.0
213,Cyprus,9.133,3.425
214,Cyprus,9.133,0.0
215,Cyprus,15.984000000000002,0.0
216,Cyprus,18.267,2.283
217,Cyprus,19.409000000000002,0.0
218,Cyprus,39.959,1.1420000000000001
219,Cyprus,18.267,1.1420000000000001
220,Cyprus,36.534,1.1420000000000001
221,Cyprus,66.218,1.1420000000000001
222,Cyprus,41.101000000000006,0.0
223,Cyprus,45.667,0.0
224,Cyprus,34.251,0.0
225,Cyprus,22.834,0.0
226,Cyprus,21.691999999999997,0.0
227,Cyprus,33.109,0.0
228,Cyprus,36.534,0.0
229,Cyprus,43.38399999999999,1.1420000000000001
230,Cyprus,35.391999999999996,0.0
231,Cyprus,23.975,0.0
232,Cyprus,19.409000000000002,1.1420000000000001
233,Cyprus,33.109,1.1420000000000001
234,Cyprus,37.676,0.0
235,Cyprus,22.834,0.0
236,Cyprus,22.834,0.0
237,Cyprus,0.0,0.0
238,Cyprus,29.684,0.0
239,Cyprus,6.85,0.0
240,Cyprus,5.707999999999999,0.0
241,Cyprus,13.7,0.0
242,Cyprus,6.85,2.283
243,Cyprus,5.707999999999999,0.0
244,Cyprus,10.275,0.0
245,Cyprus,6.85,0.0
246,Cyprus,7.992000000000001,0.0
247,Cyprus,5.707999999999999,1.1420000000000001
248,Cyprus,17.125,0.0
249,Cyprus,6.85,0.0
250,Cyprus,7.992000000000001,0.0
251,Cyprus,7.992000000000001,0.0
252,Cyprus,7.992000000000001,0.0
253,Cyprus,9.133,0.0
254,Cyprus,2.283,0.0
255,Cyprus,4.567,0.0
256,Cyprus,5.707999999999999,0.0
257,Cyprus,6.85,0.0
258,Cyprus,2.283,0.0
259,Cyprus,1.1420000000000001,0.0
260,Cyprus,6.85,1.1420000000000001
261,Cyprus,3.425,0.0
262,Cyprus,2.283,0.0
263,Cyprus,2.283,1.1420000000000001
264,Cyprus,2.283,0.0
265,Cyprus,3.425,0.0
266,Cyprus,4.567,0.0
267,Cyprus,2.283,0.0
268,Cyprus,1.1420000000000001,0.0
269,Cyprus,1.1420000000000001,0.0
270,Cyprus,4.567,0.0
271,Cyprus,1.1420000000000001,0.0
272,Cyprus,4.567,0.0
273,Cyprus,0.0,0.0
274,Cyprus,9.133,0.0
275,Cyprus,2.283,0.0
276,Cyprus,2.283,0.0
277,Cyprus,0.0,0.0
278,Cyprus,2.283,0.0
279,Cyprus,0.0,0.0
280,Cyprus,2.283,0.0
281,Cyprus,1.1420000000000001,0.0
282,Cyprus,5.707999999999999,0.0
283,Cyprus,3.425,0.0
284,Cyprus,6.85,0.0
285,Cyprus,0.0,0.0
286,Cyprus,2.283,0.0
287,Cyprus,0.0,1.1420000000000001
288,Cyprus,4.567,0.0
289,Cyprus,6.85,0.0
290,Cyprus,2.283,0.0
291,Cyprus,2.283,0.0
292,Cyprus,1.1420000000000001,0.0
293,Cyprus,5.707999999999999,0.0
294,Cyprus,0.0,0.0
295,Cyprus,3.425,0.0
296,Cyprus,2.283,0.0
297,Cyprus,0.0,0.0
298,Cyprus,0.0,0.0
299,Cyprus,0.0,1.1420000000000001
300,Denmark,1.726,0.0
301,Denmark,0.518,0.0
302,Denmark,1.381,0.0
303,Denmark,1.209,0.0
304,Denmark,12.948,0.0
305,Denmark,26.07,0.0
306,Denmark,43.507,0.0
307,Denmark,27.623,0.0
308,Denmark,22.099,0.0
309,Denmark,3.971,0.0
310,Denmark,8.287,0.17300000000000001
311,Denmark,9.841000000000001,0.0
312,Denmark,15.883,0.518
313,Denmark,15.710999999999999,0.0
314,Denmark,6.215,0.345
315,Denmark,17.955,0.518
316,Denmark,12.258,0.691
317,Denmark,11.913,0.0
318,Denmark,11.222000000000001,1.899
319,Denmark,22.616999999999997,1.381
320,Denmark,22.962,0.345
321,Denmark,26.415,1.209
322,Denmark,29.177,1.899
323,Denmark,26.76,2.244
324,Denmark,33.493,1.209
325,Denmark,31.421999999999997,0.863
326,Denmark,48.858999999999995,2.244
327,Denmark,42.644,2.417
328,Denmark,48.168,3.28
329,Denmark,64.05199999999999,2.762
330,Denmark,55.247,3.798
331,Denmark,50.413000000000004,3.108
332,Denmark,53.86600000000001,1.381
333,Denmark,67.332,2.762
334,Denmark,57.146,2.59
335,Denmark,40.226,3.28
336,Denmark,31.767,1.726
337,Denmark,30.558000000000003,2.244
338,Denmark,30.730999999999998,2.244
339,Denmark,24.861,2.072
340,Denmark,33.321,2.417
341,Denmark,29.35,1.726
342,Denmark,34.184,2.072
343,Denmark,33.493,2.59
344,Denmark,29.177,1.726
345,Denmark,24.516,1.554
346,Denmark,22.616999999999997,1.554
347,Denmark,31.076,1.036
348,Denmark,37.464,2.417
349,Denmark,27.796,1.726
350,Denmark,23.651999999999997,1.554
351,Denmark,40.571999999999996,2.59
352,Denmark,22.444000000000003,0.691
353,Denmark,21.235,0.863
354,Denmark,26.415,1.209
355,Denmark,27.105,1.554
356,Denmark,25.897,1.554
357,Denmark,26.415,1.726
358,Denmark,16.574,1.899
359,Denmark,20.027,1.381
360,Denmark,25.379,1.554
361,Denmark,26.07,1.209
362,Denmark,27.969,0.518
363,Denmark,17.265,1.036
364,Denmark,23.307,1.036
365,Denmark,17.437,0.691
366,Denmark,18.991,0.518
367,Denmark,14.502,0.863
368,Denmark,13.466,0.691
369,Denmark,13.120999999999999,1.036
370,Denmark,7.942,0.691
371,Denmark,13.466,0.0
372,Denmark,11.567,0.863
373,Denmark,11.913,0.691
374,Denmark,7.077999999999999,0.17300000000000001
375,Denmark,13.120999999999999,0.518
376,Denmark,12.603,0.518
377,Denmark,11.222000000000001,1.209
378,Denmark,8.287,0.0
379,Denmark,10.186,0.0
380,Denmark,12.258,0.17300000000000001
381,Denmark,4.6610000000000005,0.17300000000000001
382,Denmark,7.077999999999999,0.0
383,Denmark,8.978,0.345
384,Denmark,5.525,0.518
385,Denmark,13.984000000000002,0.0
386,Denmark,6.906000000000001,0.518
387,Denmark,6.215,0.518
388,Denmark,5.178999999999999,0.345
389,Denmark,6.042999999999999,0.691
390,Denmark,6.388,0.0
391,Denmark,6.906000000000001,0.345
392,Denmark,11.049000000000001,0.691
393,Denmark,8.46,0.17300000000000001
394,Denmark,4.144,0.345
395,Denmark,2.417,0.691
396,Denmark,6.733,0.0
397,Denmark,2.59,0.0
398,Denmark,3.28,0.0
399,Denmark,11.049000000000001,0.17300000000000001
400,Estonia,2.262,0.0
401,Estonia,3.7689999999999997,0.0
402,Estonia,3.3922499999999998,0.0
403,Estonia,3.0155,0.0
404,Estonia,2.63875,0.0
405,Estonia,2.262,0.0
406,Estonia,2.262,0.0
407,Estonia,8.292,0.0
408,Estonia,39.2,0.0
409,Estonia,27.138,0.0
410,Estonia,42.215,0.0
411,Estonia,25.631,0.0
412,Estonia,15.077,0.0
413,Estonia,24.877,0.0
414,Estonia,6.785,0.0
415,Estonia,12.061,0.0
416,Estonia,17.338,0.0
417,Estonia,15.077,0.0
418,Estonia,19.6,0.0
419,Estonia,12.815,0.0
420,Estonia,26.384,0.754
421,Estonia,101.015,0.0
422,Estonia,27.892,0.0
423,Estonia,49.0,0.0
424,Estonia,29.4,1.508
425,Estonia,27.138,0.0
426,Estonia,22.615,0.754
427,Estonia,25.631,0.754
428,Estonia,59.553000000000004,4.523
429,Estonia,77.646,0.754
430,Estonia,42.968999999999994,0.754
431,Estonia,59.553000000000004,1.508
432,Estonia,8.292,3.015
433,Estonia,30.906999999999996,1.508
434,Estonia,27.138,2.262
435,Estonia,16.585,0.0
436,Estonia,38.446,0.0
437,Estonia,34.677,0.0
438,Estonia,3.7689999999999997,0.754
439,Estonia,17.338,2.262
440,Estonia,30.906999999999996,2.262
441,Estonia,21.861,3.015
442,Estonia,24.123,0.754
443,Estonia,18.846,1.508
444,Estonia,39.954,0.0
445,Estonia,12.061,1.508
446,Estonia,5.277,0.0
447,Estonia,12.815,2.262
448,Estonia,5.277,0.754
449,Estonia,24.877,0.754
450,Estonia,9.8,0.754
451,Estonia,22.615,0.0
452,Estonia,6.031000000000001,2.262
453,Estonia,3.015,0.754
454,Estonia,9.8,0.0
455,Estonia,4.523,0.0
456,Estonia,17.338,1.508
457,Estonia,3.7689999999999997,0.0
458,Estonia,3.7689999999999997,0.754
459,Estonia,0.754,1.508
460,Estonia,2.262,0.0
461,Estonia,6.031000000000001,0.0
462,Estonia,1.508,0.0
463,Estonia,5.277,0.754
464,Estonia,3.7689999999999997,0.0
465,Estonia,6.031000000000001,3.015
466,Estonia,4.523,0.0
467,Estonia,1.508,0.754
468,Estonia,3.7689999999999997,0.0
469,Estonia,3.7689999999999997,0.0
470,Estonia,5.277,0.754
471,Estonia,6.031000000000001,0.754
472,Estonia,3.015,0.0
473,Estonia,3.015,0.0
474,Estonia,7.537999999999999,0.754
475,Estonia,5.277,0.0
476,Estonia,2.262,0.0
477,Estonia,4.523,0.0
478,Estonia,5.277,0.0
479,Estonia,10.554,0.0
480,Estonia,1.508,0.0
481,Estonia,0.754,0.754
482,Estonia,7.537999999999999,0.0
483,Estonia,4.523,0.754
484,Estonia,8.292,0.0
485,Estonia,6.031000000000001,0.754
486,Estonia,4.523,0.0
487,Estonia,3.015,0.754
488,Estonia,0.754,0.0
489,Estonia,0.0,0.0
490,Estonia,7.537999999999999,0.754
491,Estonia,7.537999999999999,0.0
492,Estonia,15.077,0.0
493,Estonia,15.831,0.0
494,Estonia,6.031000000000001,0.0
495,Estonia,0.754,0.0
496,Estonia,5.277,0.0
497,Estonia,8.292,0.0
498,Estonia,5.277,0.0
499,Estonia,3.7689999999999997,0.0
500,France,1.1179999999999999,0.0
501,France,2.114,0.046
502,France,2.911,0.031
503,France,1.578,0.015
504,France,6.281000000000001,0.138
505,France,4.382,0.16899999999999998
506,France,5.699,0.046
507,France,7.614,0.23
508,France,9.115,0.19899999999999998
509,France,12.026,0.276
510,France,12.838,0.184
511,France,14.155999999999999,0.552
512,France,18.537,0.322
513,France,16.805999999999997,0.414
514,France,21.509,1.057
515,France,28.511,1.9609999999999999
516,France,24.773000000000003,1.195
517,France,28.296,1.716
518,France,23.884,1.716
519,France,58.799,2.85
520,France,37.473,3.677
521,France,44.903,3.5389999999999997
522,France,60.086000000000006,5.5920000000000005
523,France,58.354,4.581
524,France,70.641,4.887
525,France,39.817,4.473
526,France,67.041,6.404
527,France,116.096,7.645
528,France,74.471,7.797999999999999
529,France,32.417,7.216
530,France,80.17,30.701999999999998
531,France,65.37100000000001,16.132
532,France,28.695,7.936
533,France,59.931999999999995,12.762
534,France,57.864,21.709
535,France,59.458,8.288
536,France,65.66199999999999,20.544
537,France,66.52,15.120999999999999
538,France,47.707,9.728
539,France,24.711,8.595
540,France,40.951,8.794
541,France,84.215,11.674000000000001
542,France,40.338,22.03
543,France,40.461,11.536
544,France,6.205,11.659
545,France,39.357,9.836
546,France,12.026,6.051
547,France,31.421999999999997,8.38
548,France,40.859,8.135
549,France,27.99,8.334
550,France,25.324,7.905
551,France,27.163,5.96
552,France,23.546999999999997,5.653
553,France,7.063,3.707
554,France,18.308,6.695
555,France,16.316,5.622000000000001
556,France,24.619,6.542000000000001
557,France,17.45,4.428
558,France,9.253,3.34
559,France,12.164000000000001,2.543
560,France,4.718999999999999,2.068
561,France,8.824,4.688
562,France,16.913,5.056
563,France,64.084,4.2589999999999995
564,France,9.636000000000001,2.727
565,France,9.836,3.7230000000000003
566,France,6.6339999999999995,1.226
567,France,3.202,1.072
568,France,6.986000000000001,4.029
569,France,10.847000000000001,5.331
570,France,7.767,1.272
571,France,9.529,5.377000000000001
572,France,8.625,1.992
573,France,5.699,1.348
574,France,1.838,1.042
575,France,7.537999999999999,2.85
576,France,8.027999999999999,1.915
577,France,6.404,1.685
578,France,4.872,1.272
579,France,6.1739999999999995,1.1340000000000001
580,France,3.677,0.659
581,France,1.7619999999999998,0.536
582,France,5.485,0.996
583,France,4.228,1.501
584,France,2.926,1.011
585,France,50.93899999999999,1.011
586,France,9.146,0.797
587,France,28.005,0.873
588,France,3.937,0.475
589,France,5.178,0.475
590,France,5.2855,1.639
591,France,5.393,1.2409999999999999
592,France,11.751,0.674
593,France,9.361,0.705
594,France,8.87,0.475
595,France,5.255,0.19899999999999998
596,France,3.233,0.8270000000000001
597,France,6.1739999999999995,1.3330000000000002
598,France,8.349,0.35200000000000004
599,France,6.511,0.414
600,Germany,1.6469999999999998,0.0
601,Germany,3.39,0.0
602,Germany,1.945,0.0
603,Germany,0.6559999999999999,0.0
604,Germany,2.8289999999999997,0.024
605,Germany,1.874,0.0
606,Germany,3.235,0.012
607,Germany,9.572000000000001,0.024
608,Germany,8.271,0.0
609,Germany,8.749,0.036000000000000004
610,Germany,12.449000000000002,0.048
611,Germany,14.012,0.012
612,Germany,13.654000000000002,0.0
613,Germany,12.437000000000001,0.0
614,Germany,70.89699999999999,0.358
615,Germany,48.327,0.024
616,Germany,39.101,0.263
617,Germany,39.518,0.322
618,Germany,52.97,0.382
619,Germany,27.953000000000003,0.275
620,Germany,59.128,0.585
621,Germany,68.987,0.6559999999999999
622,Germany,75.122,0.8590000000000001
623,Germany,47.324,0.764
624,Germany,56.705,0.7879999999999999
625,Germany,55.082,1.528
626,Germany,65.084,1.778
627,Germany,73.475,1.671
628,Germany,73.69,1.7309999999999999
629,Germany,72.59100000000001,1.683
630,Germany,70.84899999999999,2.1959999999999997
631,Germany,43.887,1.0979999999999999
632,Germany,45.761,2.065
633,Germany,47.778,3.032
634,Germany,59.367,2.9360000000000004
635,Germany,63.532,3.175
636,Germany,49.32899999999999,2.041
637,Germany,33.67,1.54
638,Germany,30.28,1.504
639,Germany,24.85,2.029
640,Germany,29.671999999999997,3.4019999999999997
641,Germany,34.207,3.76
642,Germany,40.342,3.569
643,Germany,43.075,2.888
644,Germany,29.337,2.1959999999999997
645,Germany,21.185,1.3130000000000002
646,Germany,21.305,2.315
647,Germany,26.7,3.3539999999999996
648,Germany,28.072,2.5660000000000003
649,Germany,27.893,2.7089999999999996
650,Germany,24.526999999999997,2.136
651,Germany,20.732,1.671
652,Germany,12.15,1.3130000000000002
653,Germany,13.654000000000002,1.945
654,Germany,15.564,2.411
655,Germany,17.641,2.065
656,Germany,0.0,0.0
657,Germany,30.840999999999998,3.425
658,Germany,9.465,0.883
659,Germany,8.104,0.513
660,Germany,8.176,1.659
661,Germany,12.377,1.969
662,Germany,14.251,1.4680000000000002
663,Germany,14.43,1.755
664,Germany,14.931,1.229
665,Germany,7.961,0.31
666,Germany,4.261,0.263
667,Germany,11.136,1.385
668,Germany,9.524,1.205
669,Germany,11.136,1.062
670,Germany,10.897,1.205
671,Germany,7.4,0.68
672,Germany,6.957999999999999,0.39399999999999996
673,Germany,4.082,0.251
674,Germany,6.122999999999999,0.8590000000000001
675,Germany,9.513,0.991
676,Germany,8.892000000000001,0.68
677,Germany,5.49,0.322
678,Germany,7.615,0.501
679,Germany,5.144,0.37
680,Germany,3.449,0.11900000000000001
681,Germany,5.156000000000001,0.537
682,Germany,4.321000000000001,0.561
683,Germany,4.213,0.74
684,Germany,8.844,0.465
685,Germany,8.808,0.465
686,Germany,3.4139999999999997,0.131
687,Germany,3.975,0.131
688,Germany,2.542,0.131
689,Germany,4.082,0.34600000000000003
690,Germany,4.703,0.358
691,Germany,6.051,0.382
692,Germany,4.8580000000000005,0.39399999999999996
693,Germany,3.593,0.263
694,Germany,2.5540000000000003,0.07200000000000001
695,Germany,4.177,0.442
696,Germany,3.795,0.215
697,Germany,6.624,0.31
698,Germany,3.0789999999999997,0.095
699,Germany,4.154,0.215
700,Iran,1.262,0.083
701,Iran,1.703,0.095
702,Iran,2.441,0.107
703,Iran,4.584,0.131
704,Iran,6.227,0.14300000000000002
705,Iran,9.941,0.131
706,Iran,6.977,0.179
707,Iran,7.0360000000000005,0.179
708,Iran,14.692,0.20199999999999999
709,Iran,12.811,0.25
710,Iran,8.846,0.583
711,Iran,7.084,0.512
712,Iran,10.489,0.643
713,Iran,11.405999999999999,0.75
714,Iran,12.799000000000001,0.893
715,Iran,15.347000000000001,1.012
716,Iran,16.250999999999998,1.155
717,Iran,14.394,1.345
718,Iran,12.537,1.536
719,Iran,14.025,1.607
720,Iran,14.192,1.75
721,Iran,12.453,1.774
722,Iran,14.727,1.774
723,Iran,11.501,1.464
724,Iran,12.239,1.536
725,Iran,16.799,1.5119999999999998
726,Iran,20.978,1.453
727,Iran,26.264,1.703
728,Iran,28.443,1.869
729,Iran,34.836,1.714
730,Iran,36.622,1.655
731,Iran,34.539,1.464
732,Iran,37.931999999999995,1.393
733,Iran,37.039,1.679
734,Iran,35.563,1.643
735,Iran,34.229,1.476
